Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Guatemala;Americas;Central America;1972;<5000;>=50 and <= 60;0,456;164;4860;53,1;5940000
Honduras;Americas;Central America;1972;<5000;>=50 and <= 60;0,533;136;2760;58,7;2880000
Honduras;Americas;Central America;1973;<5000;>=50 and <= 60;0,509;131;2780;57,3;2970000
Honduras;Americas;Central America;1974;<5000;>=50 and <= 60;0,509;125;3070;54,5;3060000
El Salvador;Americas;Central America;1981;<5000;>=50 and <= 60;0,394;105;4760;58,7;4670000
Nicaragua;Americas;Central America;1966;>= 5000 and <20000;>=50 and <= 60;0,452;185;5860;55,3;2130000
Nicaragua;Americas;Central America;1967;>= 5000 and <20000;>=50 and <= 60;0,494;182;6070;56,1;2200000
Nicaragua;Americas;Central America;1968;>= 5000 and <20000;>=50 and <= 60;0,546;179;5950;56,9;2260000
Nicaragua;Americas;Central America;1969;>= 5000 and <20000;>=50 and <= 60;0,553;176;6140;57,6;2330000
Nicaragua;Americas;Central America;1970;>= 5000 and <20000;>=50 and <= 60;0,586;172;6000;58,4;2410000
Nicaragua;Americas;Central America;1971;>= 5000 and <20000;>=50 and <= 60;0,61;168;6090;59,7;2480000
El Salvador;Americas;Central America;1972;>= 5000 and <20000;>=50 and <= 60;0,435;149;5090;59,9;3870000
Nicaragua;Americas;Central America;1972;>= 5000 and <20000;>=50 and <= 60;0,63;163;6100;52,2;2560000
Guatemala;Americas;Central America;1973;>= 5000 and <20000;>=50 and <= 60;0,481;159;5080;54,3;6100000
Guatemala;Americas;Central America;1974;>= 5000 and <20000;>=50 and <= 60;0,49;154;5290;55,1;6270000
Guatemala;Americas;Central America;1975;>= 5000 and <20000;>=50 and <= 60;0,548;149;5280;55,8;6430000
Guatemala;Americas;Central America;1977;>= 5000 and <20000;>=50 and <= 60;0,564;139;5850;58;6770000
Guatemala;Americas;Central America;1978;>= 5000 and <20000;>=50 and <= 60;0,595;134;6010;58,6;6930000
Guatemala;Americas;Central America;1979;>= 5000 and <20000;>=50 and <= 60;0,661;130;6160;59,1;7110000
Guatemala;Americas;Central America;1980;>= 5000 and <20000;>=50 and <= 60;0,619;125;6250;58,9;7280000
Guatemala;Americas;Central America;1981;>= 5000 and <20000;>=50 and <= 60;0,531;120;6140;58,5;7470000
Guatemala;Americas;Central America;1982;>= 5000 and <20000;>=50 and <= 60;0,474;116;5740;57,8;7650000
Peru;Americas;South America;1971;>= 5000 and <20000;>=50 and <= 60;1,36;160;6860;58,4;13800000
Peru;Americas;South America;1972;>= 5000 and <20000;>=50 and <= 60;1,29;155;6890;59,5;14200000
Cambodia;Asia;South-Eastern Asia;1975;<5000;0-40;0,00975;309;1110;24,8;7520000
Cambodia;Asia;South-Eastern Asia;1976;<5000;0-40;0,00991;284;1130;24,7;7400000
Cambodia;Asia;South-Eastern Asia;1977;<5000;0-40;0,0102;259;985;24,5;7200000
Cambodia;Asia;South-Eastern Asia;1978;<5000;0-40;0,00738;232;1010;24,2;6960000
Cambodia;Asia;South-Eastern Asia;1979;<5000;0-40;0,00433;205;899;24;6770000
Maldives;Asia;Southern Asia;1966;<5000;0-40;;297;1250;36,2;105000
Maldives;Asia;Southern Asia;1967;<5000;0-40;;289;1280;37;107000
Maldives;Asia;Southern Asia;1968;<5000;0-40;;279;1310;37,7;110000
Maldives;Asia;Southern Asia;1969;<5000;0-40;;270;1330;38,4;113000
Maldives;Asia;Southern Asia;1970;<5000;0-40;;261;1370;39,1;116000
Afghanistan;Asia;Southern Asia;1984;<5000;0-40;0,235;218;1440;39,8;12200000
Yemen;Asia;Western Asia;1966;<5000;0-40;0,603;374;1480;38,5;5820000
Yemen;Asia;Western Asia;1967;<5000;0-40;0,521;363;1500;39,4;5910000
Lebanon;Asia;Western Asia;1976;<5000;0-40;2,36;56,8;4370;34,9;2600000
Qatar;Asia;Western Asia;1969;100000 +;>60;71,1;70,3;123000;66,8;101000
Qatar;Asia;Western Asia;1970;100000 +;>60;69,1;65,8;155000;67,4;110000
Qatar;Asia;Western Asia;1971;100000 +;>60;76,6;61,5;156000;67,4;119000
Qatar;Asia;Western Asia;1972;100000 +;>60;82,6;57,5;159000;67,5;131000
Qatar;Asia;Western Asia;1973;100000 +;>60;87,7;53,8;161000;67,5;142000
Kuwait;Asia;Western Asia;1974;100000 +;>60;20;54,9;114000;70;962000
Qatar;Asia;Western Asia;1974;100000 +;>60;68,2;50,5;158000;68,1;154000
Saudi Arabia;Asia;Western Asia;1974;100000 +;>60;14;143;103000;68;7050000
United Arab Emirates;Asia;Western Asia;1974;100000 +;>60;66,5;65,9;145000;67,8;467000
Qatar;Asia;Western Asia;1975;100000 +;>60;66,6;47,5;156000;68,7;164000
United Arab Emirates;Asia;Western Asia;1975;100000 +;>60;56,1;59,5;163000;68,3;548000
Qatar;Asia;Western Asia;1976;100000 +;>60;59,7;44,7;160000;69,4;174000
United Arab Emirates;Asia;Western Asia;1976;100000 +;>60;61,3;53,7;161000;68,9;638000
Qatar;Asia;Western Asia;1977;100000 +;>60;54,4;42,2;142000;69,9;182000
United Arab Emirates;Asia;Western Asia;1977;100000 +;>60;51,8;48,4;163000;69,4;735000
Qatar;Asia;Western Asia;1978;100000 +;>60;54,8;40;146000;70,3;192000
United Arab Emirates;Asia;Western Asia;1978;100000 +;>60;52,6;43,6;139000;69,8;835000
Kuwait;Asia;Western Asia;1979;100000 +;>60;13,6;39,1;108000;71,2;1300000
Qatar;Asia;Western Asia;1979;100000 +;>60;69,9;38,1;144000;70,7;205000
United Arab Emirates;Asia;Western Asia;1979;100000 +;>60;38,5;39,2;155000;70,3;932000
Kuwait;Asia;Western Asia;1980;100000 +;>60;18;36,2;107000;71,9;1370000
Qatar;Asia;Western Asia;1980;100000 +;>60;58,5;36,2;131000;70,8;224000
United Arab Emirates;Asia;Western Asia;1980;100000 +;>60;35,4;35,4;178000;70,8;1020000
Qatar;Asia;Western Asia;1981;100000 +;>60;51,8;34,5;119000;70,9;248000
United Arab Emirates;Asia;Western Asia;1981;100000 +;>60;32,9;32;176000;71,3;1100000
United Arab Emirates;Asia;Western Asia;1982;100000 +;>60;31;29,1;154000;71,7;1160000
United Arab Emirates;Asia;Western Asia;1983;100000 +;>60;28,2;26,7;141000;71,8;1230000
United Arab Emirates;Asia;Western Asia;1984;100000 +;>60;35,2;24,5;136000;72,2;1290000
United Arab Emirates;Asia;Western Asia;1985;100000 +;>60;35,9;22,8;126000;72,5;1370000
United Arab Emirates;Asia;Western Asia;1990;100000 +;>60;28;16,6;111000;72,8;1830000
United Arab Emirates;Asia;Western Asia;1991;100000 +;>60;28,9;15,7;106000;72,9;1940000
United Arab Emirates;Asia;Western Asia;1992;100000 +;>60;27,9;14,9;103000;73,1;2050000
United Arab Emirates;Asia;Western Asia;1995;100000 +;>60;28,8;13,1;102000;73,5;2420000
United Arab Emirates;Asia;Western Asia;1996;100000 +;>60;16;12,7;102000;73,7;2540000
United Arab Emirates;Asia;Western Asia;1997;100000 +;>60;15,4;12,2;105000;74;2670000
Qatar;Asia;Western Asia;1998;100000 +;>60;58,9;13,5;104000;75,1;552000
United Arab Emirates;Asia;Western Asia;1998;100000 +;>60;28,7;11,8;101000;74,3;2810000
Qatar;Asia;Western Asia;1999;100000 +;>60;55,2;13;104000;75,1;570000
Qatar;Asia;Western Asia;2000;100000 +;>60;58,6;12,5;108000;75,3;592000
United Arab Emirates;Asia;Western Asia;2000;100000 +;>60;35,7;11,2;103000;74,8;3130000
Qatar;Asia;Western Asia;2001;100000 +;>60;67,1;12;108000;75,6;615000
Qatar;Asia;Western Asia;2002;100000 +;>60;63,4;11,6;111000;75,7;641000
Qatar;Asia;Western Asia;2003;100000 +;>60;60,3;11,1;108000;76;682000
Qatar;Asia;Western Asia;2004;100000 +;>60;56,6;10,7;116000;76,4;753000
Qatar;Asia;Western Asia;2005;100000 +;>60;58,9;10,4;110000;76,9;865000
Qatar;Asia;Western Asia;2006;100000 +;>60;62,8;10;119000;77,4;1020000
Qatar;Asia;Western Asia;2007;100000 +;>60;53,2;9,7;119000;77,9;1220000
Qatar;Asia;Western Asia;2008;100000 +;>60;46,7;9,4;120000;78,4;1440000
Qatar;Asia;Western Asia;2009;100000 +;>60;43,5;9,2;117000;78,9;1650000
Qatar;Asia;Western Asia;2010;100000 +;>60;40,7;9;125000;79,5;1860000
Qatar;Asia;Western Asia;2011;100000 +;>60;41,2;8,9;129000;80;2040000
Qatar;Asia;Western Asia;2012;100000 +;>60;44,6;8,8;125000;80,2;2200000
Qatar;Asia;Western Asia;2013;100000 +;>60;37,8;8,7;123000;80,5;2340000
Qatar;Asia;Western Asia;2014;100000 +;>60;45,4;8,6;121000;80,5;2460000
Uzbekistan;Asia;Central Asia;1966;<5000;>60;6,37;152;2880;61,9;10500000
Uzbekistan;Asia;Central Asia;1967;<5000;>60;6,42;149;2980;62,3;10900000
Uzbekistan;Asia;Central Asia;1968;<5000;>60;6,36;147;3120;62,7;11300000
Uzbekistan;Asia;Central Asia;1969;<5000;>60;6,4;144;3140;63;11700000
Uzbekistan;Asia;Central Asia;1970;<5000;>60;6,52;141;3350;63,4;12100000
Uzbekistan;Asia;Central Asia;1971;<5000;>60;6,71;139;3410;63,8;12400000
Uzbekistan;Asia;Central Asia;1972;<5000;>60;6,87;136;3400;64,2;12800000
Uzbekistan;Asia;Central Asia;1973;<5000;>60;6,97;134;3650;64,6;13100000
Uzbekistan;Asia;Central Asia;1974;<5000;>60;7,05;132;3660;64,9;13500000
Uzbekistan;Asia;Central Asia;1975;<5000;>60;7,22;130;3570;65,2;13900000
Uzbekistan;Asia;Central Asia;1976;<5000;>60;7,29;129;3640;65,5;14200000
Uzbekistan;Asia;Central Asia;1977;<5000;>60;7,34;127;3620;65,8;14600000
Tajikistan;Asia;Central Asia;1978;<5000;>60;1,98;132;4820;60,3;3690000
Uzbekistan;Asia;Central Asia;1978;<5000;>60;7,38;125;3620;66;15100000
Tajikistan;Asia;Central Asia;1979;<5000;>60;1,94;131;4630;61;3790000
Uzbekistan;Asia;Central Asia;1979;<5000;>60;7,24;124;3510;66,2;15500000
Tajikistan;Asia;Central Asia;1980;<5000;>60;1,96;131;4470;61,7;3910000
Uzbekistan;Asia;Central Asia;1980;<5000;>60;7,33;116;3420;66,3;15900000
Tajikistan;Asia;Central Asia;1981;<5000;>60;1,86;131;4350;62,3;4020000
Uzbekistan;Asia;Central Asia;1981;<5000;>60;7;109;3360;66,6;16300000
Tajikistan;Asia;Central Asia;1982;<5000;>60;1,84;130;4300;62,6;4140000
Uzbekistan;Asia;Central Asia;1982;<5000;>60;6,95;102;3360;66,8;16700000
Tajikistan;Asia;Central Asia;1983;<5000;>60;1,82;129;4280;63;4270000
Uzbekistan;Asia;Central Asia;1983;<5000;>60;6,87;95,7;3370;66,9;17200000
Tajikistan;Asia;Central Asia;1984;<5000;>60;1,78;126;4180;63,4;4400000
Uzbekistan;Asia;Central Asia;1984;<5000;>60;6,76;90,1;3330;67,2;17600000
Tajikistan;Asia;Central Asia;1985;<5000;>60;1,86;122;4070;63,8;4540000
Uzbekistan;Asia;Central Asia;1985;<5000;>60;7,11;85,3;3270;67,6;18100000
Tajikistan;Asia;Central Asia;1986;<5000;>60;1,8;117;4080;64,1;4690000
Uzbekistan;Asia;Central Asia;1986;<5000;>60;6,96;81,1;3310;68;18500000
Tajikistan;Asia;Central Asia;1987;<5000;>60;1,82;113;3990;64,3;4840000
Uzbekistan;Asia;Central Asia;1987;<5000;>60;7,07;77,7;3270;68,2;19000000
Tajikistan;Asia;Central Asia;1988;<5000;>60;1,81;108;3930;64,5;5000000
Uzbekistan;Asia;Central Asia;1988;<5000;>60;7,09;75;3250;68,3;19400000
Tajikistan;Asia;Central Asia;1989;<5000;>60;1,72;107;3860;64,8;5150000
Uzbekistan;Asia;Central Asia;1989;<5000;>60;6,78;73,2;3230;68,3;19900000
Tajikistan;Asia;Central Asia;1990;<5000;>60;1,57;107;3650;64,9;5280000
Uzbekistan;Asia;Central Asia;1990;<5000;>60;6,21;72,3;3070;68,3;20400000
Tajikistan;Asia;Central Asia;1991;<5000;>60;1,48;110;3310;65;5400000
Uzbekistan;Asia;Central Asia;1991;<5000;>60;5,84;72;2990;68;20900000
Tajikistan;Asia;Central Asia;1992;<5000;>60;1,33;115;2310;62,4;5500000
Uzbekistan;Asia;Central Asia;1992;<5000;>60;5,21;71,9;2600;67,5;21400000
Tajikistan;Asia;Central Asia;1993;<5000;>60;0,926;119;1900;64,1;5590000
Uzbekistan;Asia;Central Asia;1993;<5000;>60;5,3;71,7;2480;67;21900000
Tajikistan;Asia;Central Asia;1994;<5000;>60;0,415;121;1470;63,9;5680000
Uzbekistan;Asia;Central Asia;1994;<5000;>60;4,85;71,2;2300;66,5;22300000
Tajikistan;Asia;Central Asia;1995;<5000;>60;0,425;119;1270;63,9;5760000
Turkmenistan;Asia;Central Asia;1995;<5000;>60;8,08;87,5;4600;63,1;4210000
Uzbekistan;Asia;Central Asia;1995;<5000;>60;4,52;70,5;2240;66,2;22800000
Tajikistan;Asia;Central Asia;1996;<5000;>60;0,483;116;1040;63;5850000
Turkmenistan;Asia;Central Asia;1996;<5000;>60;7,15;88;4820;63,1;4290000
Uzbekistan;Asia;Central Asia;1996;<5000;>60;4,56;69,7;2240;66;23200000
Tajikistan;Asia;Central Asia;1997;<5000;>60;0,363;111;1050;64,3;5940000
Turkmenistan;Asia;Central Asia;1997;<5000;>60;7,03;87,8;4200;63;4360000
Uzbekistan;Asia;Central Asia;1997;<5000;>60;4,52;68,6;2310;66;23600000
Tajikistan;Asia;Central Asia;1998;<5000;>60;0,415;105;1090;64,4;6030000
Turkmenistan;Asia;Central Asia;1998;<5000;>60;7,27;86,9;4440;63,1;4410000
Uzbekistan;Asia;Central Asia;1998;<5000;>60;4,94;67;2370;66,1;24000000
Tajikistan;Asia;Central Asia;1999;<5000;>60;0,412;99,2;1110;64,9;6120000
Uzbekistan;Asia;Central Asia;1999;<5000;>60;5,02;65,2;2450;66,3;24400000
Tajikistan;Asia;Central Asia;2000;<5000;>60;0,36;92,7;1180;65,2;6220000
Uzbekistan;Asia;Central Asia;2000;<5000;>60;4,9;63;2500;66,4;24800000
Tajikistan;Asia;Central Asia;2001;<5000;>60;0,362;86,2;1280;65,5;6320000
Uzbekistan;Asia;Central Asia;2001;<5000;>60;4,9;60,4;2580;66,4;25100000
Tajikistan;Asia;Central Asia;2002;<5000;>60;0,292;79,9;1390;65,9;6430000
Uzbekistan;Asia;Central Asia;2002;<5000;>60;5,03;57,7;2650;66,4;25400000
Tajikistan;Asia;Central Asia;2003;<5000;>60;0,316;74,1;1510;66,3;6540000
Uzbekistan;Asia;Central Asia;2003;<5000;>60;4,92;54,8;2730;66,5;25700000
Tajikistan;Asia;Central Asia;2004;<5000;>60;0,382;69;1630;66,8;6660000
Uzbekistan;Asia;Central Asia;2004;<5000;>60;4,82;52;2900;66,6;26100000
Tajikistan;Asia;Central Asia;2005;<5000;>60;0,356;64,7;1710;67,3;6790000
Uzbekistan;Asia;Central Asia;2005;<5000;>60;4,42;49,3;3070;66,7;26400000
Tajikistan;Asia;Central Asia;2006;<5000;>60;0,38;61,2;1790;68;6920000
Uzbekistan;Asia;Central Asia;2006;<5000;>60;4,47;46,6;3250;67,1;26800000
Tajikistan;Asia;Central Asia;2007;<5000;>60;0,452;58,4;1890;68,5;7060000
Uzbekistan;Asia;Central Asia;2007;<5000;>60;4,4;44;3530;67,6;27200000
Tajikistan;Asia;Central Asia;2008;<5000;>60;0,397;56;1990;68,8;7210000
Uzbekistan;Asia;Central Asia;2008;<5000;>60;4,47;41,3;3780;68;27600000
Tajikistan;Asia;Central Asia;2009;<5000;>60;0,328;54,2;2020;69,3;7360000
Uzbekistan;Asia;Central Asia;2009;<5000;>60;3,81;38,7;4020;68,4;28100000
Tajikistan;Asia;Central Asia;2010;<5000;>60;0,333;52,4;2110;69,6;7530000
Uzbekistan;Asia;Central Asia;2010;<5000;>60;3,64;36,3;4240;68,8;28500000
Tajikistan;Asia;Central Asia;2011;<5000;>60;0,301;50,8;2210;69,9;7700000
Uzbekistan;Asia;Central Asia;2011;<5000;>60;3,91;34;4470;69;29000000
Tajikistan;Asia;Central Asia;2012;<5000;>60;0,367;49,2;2320;70,5;7870000
Uzbekistan;Asia;Central Asia;2012;<5000;>60;3,92;31,7;4770;69,3;29400000
Tajikistan;Asia;Central Asia;2013;<5000;>60;0,426;47,6;2440;71,1;8060000
Tajikistan;Asia;Central Asia;2014;<5000;>60;0,62;46;2550;71,4;8250000
China;Asia;Eastern Asia;1970;<5000;>60;0,936;114;851;61;828000000
China;Asia;Eastern Asia;1971;<5000;>60;1,04;108;879;61,6;849000000
China;Asia;Eastern Asia;1972;<5000;>60;1,08;102;846;62,1;869000000
China;Asia;Eastern Asia;1973;<5000;>60;1,09;96,7;898;62,6;889000000
China;Asia;Eastern Asia;1974;<5000;>60;1,09;91,1;892;63;908000000
China;Asia;Eastern Asia;1975;<5000;>60;1,24;85,5;924;63,3;926000000
China;Asia;Eastern Asia;1976;<5000;>60;1,28;80,1;896;62,8;943000000
China;Asia;Eastern Asia;1977;<5000;>60;1,38;74,9;909;63,6;958000000
China;Asia;Eastern Asia;1978;<5000;>60;1,51;70,3;1020;63,9;972000000
China;Asia;Eastern Asia;1979;<5000;>60;1,53;66,3;1060;64;986000000
China;Asia;Eastern Asia;1980;<5000;>60;1,48;62,8;1080;64,2;1000000000
China;Asia;Eastern Asia;1981;<5000;>60;1,44;59,9;1110;64,3;1010000000
China;Asia;Eastern Asia;1982;<5000;>60;1,55;57,7;1180;64,9;1030000000
China;Asia;Eastern Asia;1983;<5000;>60;1,61;56;1240;65,3;1040000000
China;Asia;Eastern Asia;1984;<5000;>60;1,72;54,8;1460;65,7;1060000000
Mongolia;Asia;Eastern Asia;1984;<5000;>60;3,45;141;3260;60,4;1870000
China;Asia;Eastern Asia;1985;<5000;>60;1,84;54,2;1570;66,1;1080000000
Mongolia;Asia;Eastern Asia;1985;<5000;>60;4,7;136;3190;60,9;1920000
China;Asia;Eastern Asia;1986;<5000;>60;1,9;53,9;1610;66,3;1100000000
Mongolia;Asia;Eastern Asia;1986;<5000;>60;4,89;130;3360;61,5;1980000
China;Asia;Eastern Asia;1987;<5000;>60;1,99;53,9;1660;66,6;1120000000
Mongolia;Asia;Eastern Asia;1987;<5000;>60;5,21;125;3570;62;2030000
China;Asia;Eastern Asia;1988;<5000;>60;2,09;54;1610;66,7;1140000000
Mongolia;Asia;Eastern Asia;1988;<5000;>60;5,55;119;3690;62,2;2090000
China;Asia;Eastern Asia;1989;<5000;>60;2,09;54,1;1480;66,7;1160000000
Mongolia;Asia;Eastern Asia;1989;<5000;>60;4,94;114;3610;62,3;2140000
China;Asia;Eastern Asia;1990;<5000;>60;2,08;53,9;1530;67;1180000000
China;Asia;Eastern Asia;1991;<5000;>60;2,16;53,3;1650;67,3;1190000000
Mongolia;Asia;Eastern Asia;1991;<5000;>60;5,48;104;4610;62,6;2220000
China;Asia;Eastern Asia;1992;<5000;>60;2,23;52,3;1860;67,5;1210000000
Mongolia;Asia;Eastern Asia;1992;<5000;>60;4,91;99,3;4130;62,5;2240000
China;Asia;Eastern Asia;1993;<5000;>60;2,37;50,9;2090;67,7;1220000000
Mongolia;Asia;Eastern Asia;1993;<5000;>60;4,1;95,1;3970;62,2;2260000
China;Asia;Eastern Asia;1994;<5000;>60;2,49;49,3;2340;68;1230000000
Mongolia;Asia;Eastern Asia;1994;<5000;>60;3,48;90,9;4020;62,1;2280000
China;Asia;Eastern Asia;1995;<5000;>60;2,68;47,5;2560;68,4;1240000000
Mongolia;Asia;Eastern Asia;1995;<5000;>60;3,45;86,7;4240;61,7;2300000
China;Asia;Eastern Asia;1996;<5000;>60;2,77;45,5;2790;68,7;1250000000
Mongolia;Asia;Eastern Asia;1996;<5000;>60;3,47;82,3;4300;61,5;2320000
China;Asia;Eastern Asia;1997;<5000;>60;2,76;43,6;3020;69;1260000000
Mongolia;Asia;Eastern Asia;1997;<5000;>60;3,3;77,8;4440;61,7;2340000
China;Asia;Eastern Asia;1998;<5000;>60;2,62;41,5;3220;69,3;1270000000
Mongolia;Asia;Eastern Asia;1998;<5000;>60;3,27;73,1;4550;62;2360000
China;Asia;Eastern Asia;1999;<5000;>60;2,6;39,3;3440;69,7;1280000000
Mongolia;Asia;Eastern Asia;1999;<5000;>60;3,18;68,3;4640;62,4;2380000
China;Asia;Eastern Asia;2000;<5000;>60;2,65;36,9;3700;70;1290000000
Mongolia;Asia;Eastern Asia;2000;<5000;>60;3,13;63,4;4660;62,8;2400000
China;Asia;Eastern Asia;2001;<5000;>60;2,7;34,3;3980;70,3;1300000000
Mongolia;Asia;Eastern Asia;2001;<5000;>60;3,26;58,6;4750;63,1;2420000
China;Asia;Eastern Asia;2002;<5000;>60;2,96;31,6;4320;70,7;1310000000
Mongolia;Asia;Eastern Asia;2002;<5000;>60;3,39;53,9;4920;63,4;2440000
China;Asia;Eastern Asia;2003;<5000;>60;3,48;28,9;4720;71,3;1320000000
Malaysia;Asia;South-Eastern Asia;1966;<5000;>60;;63,7;3670;62,8;9790000
Philippines;Asia;South-Eastern Asia;1966;<5000;>60;0,506;90;2930;61,7;31900000
Thailand;Asia;South-Eastern Asia;1966;<5000;>60;0,289;118;2000;60,5;32800000
Malaysia;Asia;South-Eastern Asia;1967;<5000;>60;;60,7;3650;63,3;10000000
Philippines;Asia;South-Eastern Asia;1967;<5000;>60;0,555;88,2;2990;62,1;32800000
Thailand;Asia;South-Eastern Asia;1967;<5000;>60;0,36;113;2100;61;33800000
Malaysia;Asia;South-Eastern Asia;1968;<5000;>60;;58,2;3880;63,7;10300000
Philippines;Asia;South-Eastern Asia;1968;<5000;>60;0,658;86,6;3050;62,4;33800000
Thailand;Asia;South-Eastern Asia;1968;<5000;>60;0,491;109;2210;61,4;34800000
Malaysia;Asia;South-Eastern Asia;1969;<5000;>60;;56;4010;64,2;10500000
Philippines;Asia;South-Eastern Asia;1969;<5000;>60;0,657;85,2;3100;62,7;34800000
Thailand;Asia;South-Eastern Asia;1969;<5000;>60;0,406;104;2320;61,9;35800000
Malaysia;Asia;South-Eastern Asia;1970;<5000;>60;1,35;54;4160;64,6;10800000
Philippines;Asia;South-Eastern Asia;1970;<5000;>60;0,692;84,2;3130;63;35800000
Thailand;Asia;South-Eastern Asia;1970;<5000;>60;0,417;99,4;2400;62,4;36900000
Malaysia;Asia;South-Eastern Asia;1971;<5000;>60;1,51;52;4370;65,1;11100000
Philippines;Asia;South-Eastern Asia;1971;<5000;>60;0,749;83,4;3210;63,3;36800000
Thailand;Asia;South-Eastern Asia;1971;<5000;>60;0,507;94,7;2440;62,8;38000000
Malaysia;Asia;South-Eastern Asia;1972;<5000;>60;1,58;50;4600;65,6;11300000
Philippines;Asia;South-Eastern Asia;1972;<5000;>60;0,697;83;3300;63,3;37900000
Thailand;Asia;South-Eastern Asia;1972;<5000;>60;0,559;90,2;2480;63,3;39100000
Philippines;Asia;South-Eastern Asia;1973;<5000;>60;0,808;82,8;3490;63,5;39000000
Thailand;Asia;South-Eastern Asia;1973;<5000;>60;0,609;85,8;2660;63,8;40200000
Philippines;Asia;South-Eastern Asia;1974;<5000;>60;0,76;82,7;3520;63,6;40100000
Thailand;Asia;South-Eastern Asia;1974;<5000;>60;0,588;81,6;2710;64,4;41300000
Philippines;Asia;South-Eastern Asia;1975;<5000;>60;0,788;82,7;3630;63,9;41300000
Thailand;Asia;South-Eastern Asia;1975;<5000;>60;0,577;77,7;2780;65;42300000
Philippines;Asia;South-Eastern Asia;1976;<5000;>60;0,827;82,6;3840;63,7;42400000
Thailand;Asia;South-Eastern Asia;1976;<5000;>60;0,663;74;2970;65,5;43400000
Philippines;Asia;South-Eastern Asia;1977;<5000;>60;0,842;82,3;3950;64,2;43600000
Thailand;Asia;South-Eastern Asia;1977;<5000;>60;0,724;70,5;3200;65,8;44400000
Philippines;Asia;South-Eastern Asia;1978;<5000;>60;0,835;81,8;4040;64,4;44800000
Thailand;Asia;South-Eastern Asia;1978;<5000;>60;0,772;67,3;3450;66,1;45400000
Philippines;Asia;South-Eastern Asia;1979;<5000;>60;0,827;81,1;4160;64,7;46100000
Thailand;Asia;South-Eastern Asia;1979;<5000;>60;0,792;64,3;3560;66,2;46400000
Philippines;Asia;South-Eastern Asia;1980;<5000;>60;0,781;80,4;4250;64,9;47400000
Thailand;Asia;South-Eastern Asia;1980;<5000;>60;0,847;61,4;3640;66,4;47400000
Philippines;Asia;South-Eastern Asia;1981;<5000;>60;0,712;79,5;4300;65;48700000
Thailand;Asia;South-Eastern Asia;1981;<5000;>60;0,787;58,6;3790;66,6;48300000
Indonesia;Asia;South-Eastern Asia;1982;<5000;>60;0,682;113;3300;60,4;154000000
Philippines;Asia;South-Eastern Asia;1982;<5000;>60;0,699;78,4;4350;65,2;50000000
Thailand;Asia;South-Eastern Asia;1982;<5000;>60;0,769;56,1;3920;66,8;49300000
Indonesia;Asia;South-Eastern Asia;1983;<5000;>60;0,664;110;3350;60,9;158000000
Philippines;Asia;South-Eastern Asia;1983;<5000;>60;0,688;77,3;4330;65,4;51400000
Thailand;Asia;South-Eastern Asia;1983;<5000;>60;0,846;53,6;4070;67,3;50200000
Indonesia;Asia;South-Eastern Asia;1984;<5000;>60;0,694;106;3520;61,4;162000000
Philippines;Asia;South-Eastern Asia;1984;<5000;>60;0,586;75,8;3930;65,5;52800000
Thailand;Asia;South-Eastern Asia;1984;<5000;>60;0,9;51,2;4230;68;51100000
Indonesia;Asia;South-Eastern Asia;1985;<5000;>60;0,735;103;3550;61,8;165000000
Philippines;Asia;South-Eastern Asia;1985;<5000;>60;0,516;73,9;3560;65,6;54300000
Thailand;Asia;South-Eastern Asia;1985;<5000;>60;0,935;48,8;4360;68,8;52000000
Indonesia;Asia;South-Eastern Asia;1986;<5000;>60;0,723;99,1;3710;62,2;168000000
Philippines;Asia;South-Eastern Asia;1986;<5000;>60;0,523;71,5;3600;65,8;55800000
Thailand;Asia;South-Eastern Asia;1986;<5000;>60;0,938;46,6;4540;69,4;53000000
Indonesia;Asia;South-Eastern Asia;1987;<5000;>60;0,718;95,5;3840;62,4;172000000
Philippines;Asia;South-Eastern Asia;1987;<5000;>60;0,57;68,6;3670;66;57300000
Thailand;Asia;South-Eastern Asia;1987;<5000;>60;1,06;44,3;4900;69,8;53900000
Indonesia;Asia;South-Eastern Asia;1988;<5000;>60;0,755;91,8;4010;62,8;175000000
Philippines;Asia;South-Eastern Asia;1988;<5000;>60;0,641;65,1;3830;66,4;58800000
Indonesia;Asia;South-Eastern Asia;1989;<5000;>60;0,735;88,1;4310;63,3;178000000
Philippines;Asia;South-Eastern Asia;1989;<5000;>60;0,648;61,6;3980;66,9;60300000
Indonesia;Asia;South-Eastern Asia;1990;<5000;>60;0,824;84,3;4630;63,6;181000000
Philippines;Asia;South-Eastern Asia;1990;<5000;>60;0,674;58,1;4010;67,2;61900000
Indonesia;Asia;South-Eastern Asia;1991;<5000;>60;0,974;80,6;4860;64,1;185000000
Philippines;Asia;South-Eastern Asia;1991;<5000;>60;0,692;54,9;3890;67,3;63500000
Philippines;Asia;South-Eastern Asia;1992;<5000;>60;0,749;52;3810;67,7;65000000
Philippines;Asia;South-Eastern Asia;1993;<5000;>60;0,742;49,5;3800;67,9;66600000
Philippines;Asia;South-Eastern Asia;1994;<5000;>60;0,803;47,4;3870;68,1;68200000
Timor-Leste;Asia;South-Eastern Asia;1994;<5000;>60;;146;1440;60,6;828000
