Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Togo;Africa;Western Africa;1960;<5000;>=40 and < 50;0,0418;272;1240;44,4;1580000
Tonga;Oceania;Polynesia;1960;<5000;>60;0,179;93,8;1540;61,9;61600
Trinidad and Tobago;Americas;Caribbean;1960;>= 5000 and <20000;>60;3,04;67,7;8070;63;848000
Tunisia;Africa;Northern Africa;1960;<5000;>=40 and < 50;0,414;282;2180;46,7;4180000
Turkey;Asia;Western Asia;1960;<5000;>=40 and < 50;0,612;256;4920;49,1;27500000
Turkmenistan;Asia;Central Asia;1960;>= 5000 and <20000;>=50 and <= 60;8,93;187;7020;52,3;1600000
Uganda;Africa;Eastern Africa;1960;<5000;>=40 and < 50;0,0621;224;881;45,2;6770000
Ukraine;Europe;Eastern Europe;1960;>= 5000 and <20000;>60;6,41;53,6;5530;69,4;42700000
United Arab Emirates;Asia;Western Asia;1960;<5000;>=50 and <= 60;0,119;204;1770;55;92400
Uruguay;Americas;South America;1960;>= 5000 and <20000;>60;1,7;64;8000;67,7;2540000
Uzbekistan;Asia;Central Asia;1960;<5000;>=50 and <= 60;5,67;168;2360;59,3;8530000
Vanuatu;Oceania;Melanesia;1960;<5000;>=50 and <= 60;;154;1470;50,1;63700
Yemen;Asia;Western Asia;1960;<5000;0-40;0,703;413;1420;33;5320000
Zambia;Africa;Eastern Africa;1960;<5000;>=50 and <= 60;;206;3110;50,6;3070000
Zimbabwe;Africa;Eastern Africa;1960;<5000;>=50 and <= 60;;151;2000;53,8;3780000
Afghanistan;Asia;Southern Asia;1961;<5000;0-40;0,0536;358;1200;39,4;9170000
Albania;Europe;Southern Europe;1961;<5000;>60;1,35;180;2820;63,7;1690000
Algeria;Africa;Northern Africa;1961;>= 5000 and <20000;>=50 and <= 60;0,532;245;5640;52,6;11300000
Andorra;Europe;Southern Europe;1961;>= 5000 and <20000;;;;16500;;14400
Angola;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,079;302;4310;43;5530000
Antigua and Barbuda;Americas;Caribbean;1961;<5000;>60;0,849;93,5;4530;63,4;55000
Argentina;Americas;South America;1961;>= 5000 and <20000;>60;2,44;69;9510;64,2;20800000
Armenia;Asia;Western Asia;1961;<5000;>60;1,34;115;2610;62,4;1940000
Australia;Oceania;Australia and New Zealand;1961;>= 5000 and <20000;>60;8,63;24,3;14100;71,5;10400000
Austria;Europe;Western Europe;1961;>= 5000 and <20000;>60;4,48;40,2;12600;69,7;7110000
Azerbaijan;Asia;Western Asia;1961;>= 5000 and <20000;>=50 and <= 60;6,24;127;5290;58,1;4030000
Bahamas;Americas;Caribbean;1961;>= 5000 and <20000;>60;4,75;38;15600;62,2;115000
Bahrain;Asia;Western Asia;1961;>= 20000 and <40000;>=50 and <= 60;10,5;182;23000;54,2;168000
Bangladesh;Asia;Southern Asia;1961;<5000;>=40 and < 50;0,0462;256;1090;44,3;49400000
Barbados;Americas;Caribbean;1961;>= 5000 and <20000;>60;0,839;78;5360;65;232000
Belarus;Europe;Eastern Europe;1961;<5000;>60;4,73;41,6;4100;71,3;8200000
Belgium;Europe;Western Europe;1961;>= 5000 and <20000;>60;10,1;32,4;13100;70,5;9230000
Belize;Americas;Central America;1961;<5000;>60;0,387;132;2030;61,3;94700
Benin;Africa;Western Africa;1961;<5000;>=40 and < 50;0,052;313;1200;41,6;2470000
Bhutan;Asia;Southern Asia;1961;<5000;>=40 and < 50;;339;961;42,3;229000
Bosnia and Herzegovina;Europe;Southern Europe;1961;<5000;>60;;118;1800;61,2;3290000
Botswana;Africa;Southern Africa;1961;<5000;>=50 and <= 60;;164;991;52,5;513000
Brazil;Americas;South America;1961;<5000;>=50 and <= 60;0,662;167;4670;57,4;74300000
Bulgaria;Europe;Eastern Europe;1961;>= 5000 and <20000;>60;3,27;47,8;5120;70;7950000
Burkina Faso;Africa;Western Africa;1961;<5000;0-40;0,0187;340;681;39,2;4890000
Burundi;Africa;Eastern Africa;1961;<5000;>=40 and < 50;;249;543;42,3;2850000
Cambodia;Asia;South-Eastern Asia;1961;<5000;>=40 and < 50;0,0487;252;1490;44,1;5870000
Cameroon;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,0534;271;1840;46,6;5290000
Canada;Americas;Northern America;1961;>= 5000 and <20000;>60;10,6;31,6;14600;71,4;18200000
Central African Republic;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,0575;276;1450;42;1530000
Chad;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,0168;287;1470;44,9;3060000
Chile;Americas;South America;1961;>= 5000 and <20000;>=50 and <= 60;1,83;149;6070;58,6;8300000
China;Asia;Eastern Asia;1961;<5000;0-40;0,826;262;560;33,3;671000000
Colombia;Americas;South America;1961;<5000;>60;1,07;131;3530;61,6;16600000
Comoros;Africa;Eastern Africa;1961;<5000;>=40 and < 50;0,0567;312;1010;46,7;194000
Costa Rica;Americas;Central America;1961;<5000;>60;0,356;104;4280;64;1380000
Croatia;Europe;Southern Europe;1961;>= 5000 and <20000;>60;;64,1;7950;64,8;4220000
Cuba;Americas;Caribbean;1961;>= 5000 and <20000;>60;1,67;49,8;9460;66,3;7290000
Cyprus;Asia;Western Asia;1961;>= 5000 and <20000;>60;1,5;54,6;5750;68;576000
Czech Republic;Europe;Eastern Europe;1961;>= 5000 and <20000;>60;11,2;27,8;12300;70,8;9640000
Denmark;Europe;Northern Europe;1961;>= 5000 and <20000;>60;6,88;24,5;16200;72,4;4610000
Djibouti;Africa;Eastern Africa;1961;<5000;>=50 and <= 60;0,497;246;3790;53,2;88500
Dominica;Americas;Caribbean;1961;<5000;;0,18;127;2450;;61000
Dominican Republic;Americas;Caribbean;1961;<5000;>=50 and <= 60;0,303;146;2510;57,8;3410000
Ecuador;Americas;South America;1961;<5000;>=50 and <= 60;0,352;173;4450;58,3;4670000
Egypt;Africa;Northern Africa;1961;<5000;>=40 and < 50;0,616;303;2080;48,1;27400000
El Salvador;Americas;Central America;1961;<5000;>=50 and <= 60;0,205;182;4000;54;2850000
Equatorial Guinea;Africa;Middle Africa;1961;<5000;>=40 and < 50;0,085;303;712;40,9;259000
Eritrea;Africa;Eastern Africa;1961;<5000;>=40 and < 50;;274;935;41,7;1030000
Estonia;Europe;Northern Europe;1961;>= 5000 and <20000;>60;;39,9;7490;69,5;1230000
Ethiopia;Africa;Eastern Africa;1961;<5000;0-40;0,015;269;668;39,7;22700000
Fiji;Oceania;Melanesia;1961;<5000;>60;0,414;74,2;3580;60,3;407000
Finland;Europe;Northern Europe;1961;>= 5000 and <20000;>60;3,34;25,2;11400;68,8;4470000
France;Europe;Western Europe;1961;>= 5000 and <20000;>60;6,05;27;12200;71,3;46300000
